iter	Logloss
315	0.3660289015
316	0.3657988393
317	0.3653834083
318	0.3649495826
319	0.3645487203
320	0.3639742572
321	0.363533975
322	0.3632924338
323	0.3627664646
324	0.3623872741
325	0.362061424
326	0.3617856882
327	0.3614314279
328	0.3611135087
329	0.3605807001
330	0.3602178822
331	0.3597525818
332	0.3594902448
333	0.3590785857
334	0.3587183606
335	0.3582846032
336	0.3580598004
337	0.3576708553
338	0.3572578789
339	0.356859958
340	0.35634964
341	0.3557005573
342	0.354399009
343	0.3538610637
344	0.3533584847
345	0.3530782416
346	0.3526192941
347	0.3520215416
348	0.3517414598
349	0.3513472826
